050	05/06/2014 00:00	0000000148	0000000000	0000000056	0000000000	0000000000	0000000000	00000000	
051	05/06/2014 00:15	0000000120	0000000000	0000000056	0000000000	0000000000	0000000000	00000000	
052	05/06/2014 00:30	0000000124	0000000000	0000000048	0000000000	0000000000	0000000000	00000000	
053	05/06/2014 00:45	0000000120	0000000000	0000000048	0000000000	0000000000	0000000000	00000000	
054	05/06/2014 01:00	0000000120	0000000000	0000000052	0000000000	0000000000	0000000000	00000000	
055	05/06/2014 01:15	0000000116	0000000000	0000000048	0000000000	0000000000	0000000000	00000000	
056	05/06/2014 01:30	0000000116	0000000000	0000000044	0000000000	0000000000	0000000000	00000000	
057	05/06/2014 01:45	0000000112	0000000000	0000000048	0000000000	0000000000	0000000000	00000000	
058	05/06/2014 02:00	0000000120	0000000000	0000000048	0000000000	0000000000	0000000000	00000000	
059	05/06/2014 02:15	0000000116	0000000000	0000000044	0000000000	0000000000	0000000000	00000000	
0510	05/06/2014 02:30	0000000116	0000000000	0000000044	0000000000	0000000000	0000000000	00000000	
0511	05/06/2014 02:45	0000000116	0000000000	0000000048	0000000000	0000000000	0000000000	00000000	
0512	05/06/2014 03:00	0000000116	0000000000	0000000048	0000000000	0000000000	0000000000	00000000	
0513	05/06/2014 03:15	0000000116	0000000000	0000000048	0000000000	0000000000	0000000000	00000000	
0514	05/06/2014 03:30	0000000112	0000000000	0000000048	0000000000	0000000000	0000000000	00000000	
0515	05/06/2014 03:45	0000000116	0000000000	0000000048	0000000000	0000000000	0000000000	00000000	
0516	05/06/2014 04:00	0000000116	0000000000	0000000048	0000000000	0000000000	0000000000	00000000	
0517	05/06/2014 04:15	0000000116	0000000000	0000000052	0000000000	0000000000	0000000000	00000000	
0518	05/06/2014 04:30	0000000268	0000000000	0000000128	0000000000	0000000000	0000000000	00000000	
0519	05/06/2014 04:45	0000000748	0000000000	0000000292	0000000000	0000000000	0000000000	00000000	
0520	05/06/2014 05:00	0000000768	0000000000	0000000328	0000000000	0000000000	0000000000	00000000	
0521	05/06/2014 05:15	0000000792	0000000000	0000000324	0000000000	0000000000	0000000000	00000000	
0522	05/06/2014 05:30	0000000788	0000000000	0000000320	0000000000	0000000000	0000000000	00000000	
0523	05/06/2014 05:45	0000000792	0000000000	0000000320	0000000000	0000000000	0000000000	00000000	
0524	05/06/2014 06:00	0000000804	0000000000	0000000324	0000000000	0000000000	0000000000	00000000	
0525	05/06/2014 06:15	0000000800	0000000000	0000000312	0000000000	0000000000	0000000000	00000000	
0526	05/06/2014 06:30	0000000820	0000000000	0000000364	0000000000	0000000000	0000000000	00000000	
0527	05/06/2014 06:45	0000000828	0000000000	0000000396	0000000000	0000000000	0000000000	00000000	
0528	05/06/2014 07:00	0000000804	0000000000	0000000376	0000000000	0000000000	0000000000	00000000	
0529	05/06/2014 07:15	0000000804	0000000000	0000000376	0000000000	0000000000	0000000000	00000000	
0530	05/06/2014 07:30	0000000808	0000000000	0000000368	0000000000	0000000000	0000000000	00000000	
0531	05/06/2014 07:45	0000000812	0000000000	0000000372	0000000000	0000000000	0000000000	00000000	
0532	05/06/2014 08:00	0000000804	0000000000	0000000360	0000000000	0000000000	0000000000	00000000	
0533	05/06/2014 08:15	0000000812	0000000000	0000000360	0000000000	0000000000	0000000000	00000000	
0534	05/06/2014 08:30	0000000784	0000000000	0000000336	0000000000	0000000000	0000000000	00000000	
0535	05/06/2014 08:45	0000000796	0000000000	0000000228	0000000000	0000000000	0000000000	00000000	
0536	05/06/2014 09:00	0000001228	0000000000	0000000380	0000000000	0000000000	0000000000	00000000	
0537	05/06/2014 09:15	0000001288	0000000000	0000000420	0000000000	0000000000	0000000000	00000000	
0538	05/06/2014 09:30	0000001308	0000000000	0000000456	0000000000	0000000000	0000000000	00000000	
0539	05/06/2014 09:45	0000001280	0000000000	0000000460	0000000000	0000000000	0000000000	00000000	
0540	05/06/2014 10:00	0000001076	0000000000	0000000432	0000000000	0000000000	0000000000	00000000	
0541	05/06/2014 10:15	0000001288	0000000000	0000000512	0000000000	0000000000	0000000000	00000000	
0542	05/06/2014 10:30	0000001260	0000000000	0000000524	0000000000	0000000000	0000000000	00000000	
0543	05/06/2014 10:45	0000001256	0000000000	0000000520	0000000000	0000000000	0000000000	00000000	
0544	05/06/2014 11:00	0000001264	0000000000	0000000532	0000000000	0000000000	0000000000	00000000	
0545	05/06/2014 11:15	0000001252	0000000000	0000000516	0000000000	0000000000	0000000000	00000000	
0546	05/06/2014 11:30	0000001256	0000000000	0000000516	0000000000	0000000000	0000000000	00000000	
0547	05/06/2014 11:45	0000001268	0000000000	0000000528	0000000000	0000000000	0000000000	00000000	
0548	05/06/2014 12:00	0000001268	0000000000	0000000540	0000000000	0000000000	0000000000	00000000	
0549	05/06/2014 12:15	0000001276	0000000000	0000000528	0000000000	0000000000	0000000000	00000000	
0550	05/06/2014 12:30	0000001288	0000000000	0000000540	0000000000	0000000000	0000000000	00000000	
0551	05/06/2014 12:45	0000001268	0000000000	0000000520	0000000000	0000000000	0000000000	00000000	
0552	05/06/2014 13:00	0000001256	0000000000	0000000520	0000000000	0000000000	0000000000	00000000	
0553	05/06/2014 13:15	0000001272	0000000000	0000000528	0000000000	0000000000	0000000000	00000000	
0554	05/06/2014 13:30	0000001272	0000000000	0000000528	0000000000	0000000000	0000000000	00000000	
0555	05/06/2014 13:45	0000001260	0000000000	0000000540	0000000000	0000000000	0000000000	00000000	
0556	05/06/2014 14:00	0000001264	0000000000	0000000548	0000000000	0000000000	0000000000	00000000	
